Image,Name,Nomenclature,English,Marathi,Hindi,Malayalam,Bangla,Gujarati,Punjabi,Tamil,Telugu,Kannada,Assamese,Urdu,Manipuri,Konkani,Nepali,Odia,Khasi,Portuguese,Manipuri_meitei
,Series,Title,"Do what it takes, don't believe in fakes","खऱ्याची धरा कास, खोट्याची सोडा साथ!","सच का दो साथ, झूठ का छोड़ो हाथ ","വേണ്ടത് ചെയ്യൂ, വ്യാജരെ വിശ്വസിക്കാതിരിക്കൂ!","ছুঁড়ে ফেলে দিন মিথ্যে, আস্থা শুধু তথ্যে!","સાચી માહિતી નો પકડો હાથ, અફવાઓ નો છોડો સાથ","ਜੋ ਜ਼ਰੂਰੀ ਹੈ ਉਹ ਕਰੋ, ਝੂਠ 'ਤੇ ਵਿਸ਼ਵਾਸ ਨਾ ਕਰੋ","செய்ய வேண்டியதை செய், ஆதாரமற்றதை நம்பாதே ","ఏమైనా సరే, పుకార్ల నుండి దూరంగా ఉండండి","ಸುಳ್ಳು ಸುದ್ದಿ ಪಕ್ಕಕ್ಕಿಡಿ, ಸುರಕ್ಷತೆಗೆ ಇಲ್ಲಿದೆ ಕೈಪಿಡಿ","যিটো উচিত, সেইটো কৰক।",جو بھی ممکن ہو کرئیے ، اور جھو ٹی باتوں پر بھروسہ نہ کرئیں,"ওইনিংবা ওইশনু, শেমজিন-শাজিনবা পাওশিং থাজরুনু","खोटी बाब वळखात, योग्य तेंच करात!","सत्यलाई अँगाल्नुहोस्, झुटको पछि नलाग्नुहोस्।",,,"Faça o que é necessário, não creia em fake news",
1,Outdoors,Title,Maintain Physical Distance Outdoors,"घराबाहेर, इतरांपासून दोन हात दूर","घर से बाहर, तो लोगों से दूर ",പുറത്തിറങ്ങിയാൽ ശാരീരിക അകലം പാലിക്കുക ,রাস্তায় বেরোলে শারীরিক দূরত্ব রাখুন  ,ઘરની બહાર લોકોથી દૂર રહો,"ਘਰੋਂ ਬਾਹਰ, ਲੋਕਾਂ ਤੋਂ ਦੂਰ",வெளியெ செல்லும்பொழுது இடைவெளி விடவும்,ఇంటి బయట ఇతరులతో ఉంచాల్సిన శారీరక దూరం,ಹೊರಗಿರುವಾಗ ನಡುವೆ ಅಂತರವಿರಲಿ,ঘৰৰ বাহিৰত থাকোঁতে শাৰীৰিক দূৰত্ব বজাই ৰাখক।,جب باہر ہوں تب ایک دوسرے سے جسمانی فاصلہ برقرار رکھیں,য়ুমগী মপানদা থাপনা লৈনগদবা,एकमेकांमदीं अंतर दवरपाचें - जाल्यारूच भायर सरपाचें ,घरबाहिर हुँदा सामाजिक दुरी कायम गरौँ।,,,Mantenha distância quando estiver fora de casa,
1,,String 0,6 ft,6 ft,6 ft,6 ft,6 ft,6 ft,6 ft,6 ft,6 ft,6 ft,6 ft,6 ft,6 ft,6 ft,6 ft,6 ft,6 ft,2m,6 ft
1,,String 1,Maintain safe distance,सुरक्षित अंतर ठेवा ,सुरक्षित दूरी रखें ,സുരക്ഷിതമായ അകലം പുലർത്തുക ,নিরাপদ দূরত্ব বজায় রাখুন ,સુરક્ષિત અંતર જાળવો,ਸੁਰੱਖਿਅਤ ਦੂਰੀ ਰੱਖੋ,பாதுகாப்பான இடைவெளி விடவும்,శారీరక దూరం పాటించండి,ಸುರಕ್ಷಿತ ಅಂತರ ಕಾಪಾಡಿಕೊಳ್ಳಿ,নিৰাপদ দূৰত্ব বজাই ৰাখক।,محفوظ فاصلہ برقرار رکھیں,লাপতকননা লৈবীয়ু,सुरक्षित अंतर दवरात,सुरक्षित दुरी कायम गर्नुहोस।,,,Mantenha uma distância segura,
1,,String 2,Always wear masks,सतत मास्कचा वापर करा ,हमेशा मास्क का उपयोग करें ,എല്ലായ്പ്പോഴും മാസ്ക് ധരിക്കുക ,সবসময় মাস্ক পরুন ,હંમેશા માસ્ક પહેરો,ਹਮੇਸ਼ਾ ਮਾਸਕ ਪਹਿਨੋ,எப்பொழுதும் முகக் கவசம் அணியவும்,అన్ని వేళలా మాస్క్ ధరించండి,"ಮುಖಗವಸನ್ನು ಸದಾ ಧರಿಸಿ 
",সদায় মুখা বা মাস্ক পৰিধান কৰক।,ہمیشہ ماسک پہنیں,মতম চুপ্পদা মাস্ক উপ্পীয়ু,सदांच मास्क घालात ,सधै मास्क लगाउनुहोस्।,,,Sempre use máscara,
3,Shopping,Title,Sensible Shopping Precautions,खरेदी करताना खबरदारीच्या सूचना ,खरीदारी करते समय सावधानी बरतें।,സാധനങ്ങൾ വാങ്ങിക്കുമ്പോൾ എടുക്കേണ്ട മുൻകരുതലുകൾ ,কেনাকাটার সময় সাবধানে থাকতে গেলে?,ખરીદી સમયેની સાવચેતી જાળવો,ਖਰੀਦਦਾਰੀ ਕਰਦੇ ਸਮੇਂ ਸਾਵਧਾਨੀਆਂ,கடைவீதி செல்லும்பொழுது கவனம்,బజార్ కి వెళ్ళి వచ్చాక తీసుకోవాల్సిన జాగ్రత్తలు,ಸಾಮಾನು ಕೊಳ್ಳುವಾಗ ಪಾಲಿಸಬೇಕಾದ ಮುನ್ಸೂಚನೆಗಳು,বজাৰলৈ যাওঁতে ল'বলগীয়া সাৱধানতা,خریداری کی کچھ احتیاطی تدابیریں,পোৎ-চৈ লৈবদা লৌখৎকদবা চেকশিন থৌরাংশিং,खबरदारीन खरेदी ,बजारमा किनमेल गर्दा साबधानी अपनाउनुहोस्।,,,Cuidados importantes ao fazer compras,
3,,String 1,After the shopping,खरेदीनंतर,खरीदारी करने के बाद ,വാങ്ങിച്ച ശേഷം ,কেনাকাটার আগে ,ખરીદી પછી,ਖਰੀਦਦਾਰੀ ਤੋਂ ਬਾਅਦ,கடைவீதி சென்று திரும்பிய பின்,కొనుగోలు అయ్యాక,ಸಾಮಾನು ಕೊಂಡುಕೊಂಡ ನಂತರ ,বজাৰ কৰি অহাৰ পাছত ,خریداری کے بعد,পোৎ-চৈ লৈরবা মতুংদা,खरेदीनंतर ,किनमेल पछि,,,Após as compras,
3,,String 2,Wash hands with soap,हात साबणाने स्वच्छ धुवा,हाथों को साबुन से धोएं। , കൈകൾ സോപ്പ് ഉപയോഗിച്ച് നന്നായി  കഴുകുക ,সাবান দিয়ে হাত  ধুয়ে নিন  ,હાથ સાબુથી સ્વચ્છ ધોવા,ਸਾਬਣ ਨਾਲ ਹੱਥ ਧੋਵੋ,கைகளை சோப்பினால் கழுவவும்,సబ్బు తో చేతులు కడగండి,ಕೈಗಳನ್ನು ಸಾಬೂನಿನಿಂದ ತೊಳೆದುಕೊಳ್ಳಿ ,চাবোনেৰে হাত দুখন ধোৱক।,صابن سے ہاتھ دھوئیں,শাপোন না খুৎ-শা শেংনা হামদোকউ,साबणान हात स्वच्छ धुवात ,साबुन पानीले हात धुनुहोस।,,,Lave as mãos com sabão,
3,,String 3,Clean your legs,दोन्ही पाय स्वच्छ करा ,दोनों टांगों को साफ़ करें। ,കാലുകൾ വൃത്തിയായി കഴുകുക ,পাও ধুয়ে নিন ,પગ સ્વચ્છ ધોવા,ਆਪਣੀਆਂ ਲੱਤਾਂ ਸਾਫ਼ ਕਰੋ,கால்களை சுத்தம் செய்யவும் ,కాళ్లు కడగండి,ನಿಮ್ಮ ಕಾಲುಗಳನ್ನು ತೊಳೆದುಕೊಳ್ಳಿ ,আপোনাৰ ভৰি দুখন ধুই পেলাওক।,اپنے پیروں کو صاف کریں,খোঙ শেংনা চামথোকউ,पांय स्वच्छ धुयात ,खुट्टाहरु धुनुहोस ।,,,Limpe seus pés,
3,,String 4,Remove your clothes and mask and wash them. Wash your hands again.,कपडे व मास्क बदला आणि धुवून टाका. त्यानंतर पुन्हा हात स्वच्छ धुवा ,कपडे बदलिए और कपडे और मास्क को धोएँ। एक बार फिर हाथ धोएँ।,വസ്ത്രങ്ങളും  മാസ്കും മാറുക.  വീണ്ടും കൈ കഴുകുക.,জামাকাপড় ও মাস্ক পাল্টে নিন ,માસ્ક અને પહેરેલા કપડાં બદલો અને ધોવો. પછી ફરીથી હાથ ધોવો,ਆਪਣੇ ਕਪੜੇ ਅਤੇ ਮਾਸਕ ਬਦਲੋ ਅਤੇ ਧੋਵੋ। ਹੱਥਾਂ ਨੂੰ ਫੇਰ ਧੋ ਲਓ।,"உடை, முககவசத்தை நீக்கி துவைக்கவும். பின்பு கைகளை மறுபடி கழுவவும்.","బట్టలు, మాస్క్ విప్పి, ఉతకి ఆరెయ్యండి. మళ్లీ చేతులు కడుక్కొండి","ನೀವು ಧರಿಸಿದ ಬಟ್ಟೆಯನ್ನು ಮತ್ತು ಮುಖಗವಸನ್ನು ಬದಲಾಯಿಸಿ, ಒಗೆಯಿರಿ. ನಂತರ ನಿಮ್ಮ ಕೈಗಳನ್ನು ತೊಳೆದುಕೊಳ್ಳಿ.   ",আপোনাৰ কাপোন-কানি আৰু মুখাখন সলনি কৰক আৰু ধুই পেলাওক। তাৰ পাছত পুনৰ হাত দুখন ধোৱক।,اپنے کپڑے اور ماسک کو تبدیل کریں اور دھویں۔ پھر دوبارہ ہاتھوں کو دھو لیں۔,ফিরোল অমসুং মাস্ক শুদোকউ অমসুং শিন্দোকউ,कपडे बदलून ते कपडे आनी मास्क धुवात. मागीर परत हात धुवुन घेयात.,कपडा र मास्क फेर्नुहोस अनि धुनुहोस। फेरी हात धुनुहोस ,,,Remova suas roupas e máscara e lave-as. Lave novamente as mãos.,
